,COUNTY,LATITUDE,LONGITUDE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS,FIRE_YEAR,DISCOVERY_DATE,CONTAIN_DATE,CAUSE_CLASSIFICATION,CAUSE,FREQUENCY
47,Mono County,37.5025,-118.75583333,DAVIS,0.1,A,2018,20180824,20180830,Human,Recreation and ceremony,0.08490566037735849
48,Mono County,37.70972222,-118.62944444,WATTERSON,0.25,A,2018,20180814,20180815,Natural,Natural,0.08490566037735849
49,Mono County,37.5,-118.68555556,ROUND,0.1,A,2018,20180801,20180829,Natural,Natural,0.08490566037735849
50,Mono County,37.54194444,-118.73694444,CROOKED,0.1,A,2018,20181006,20181007,Natural,Natural,0.08490566037735849
51,Mono County,37.56472222,-118.78472222,TEN,2.0,B,2018,20180929,20180929,Human,Missing data/not specified/undetermined,0.08490566037735849
52,Mono County,38.38444444,-119.45027778,BOOT,6974.0,G,2018,20180904,20181002,Human,Equipment and vehicle use,0.08490566037735849
53,Mono County,37.76416667,-119.1075,IOWA,0.1,A,2018,20180218,20180218,Human,Power generation/transmission/distribution,0.08490566037735849
54,Mono County,37.78194444,-119.08083333,BEACH,0.01,A,2018,20180811,20180811,Human,Recreation and ceremony,0.08490566037735849
55,Mono County,37.77388889,-119.08083333,GULL,0.01,A,2018,20180901,20180903,Human,Recreation and ceremony,0.08490566037735849
56,Mono County,37.76222222,-119.11138889,FERN,0.25,A,2018,20181105,20181106,Human,Equipment and vehicle use,0.08490566037735849
57,Mono County,38.0775,-118.74972222,3N02,0.1,A,2018,20180722,20180722,Natural,Natural,0.08490566037735849
58,Mono County,37.69805556,-118.93916667,BEAR,1.2,B,2018,20180922,20180923,Human,Arson/incendiarism,0.08490566037735849
59,Mono County,37.79527778,-118.69444444,BLACK,0.5,B,2018,20180905,20180906,Natural,Natural,0.08490566037735849
60,Mono County,38.035,-119.18861111,PROSPECT,0.1,A,2018,20180723,20180723,Natural,Natural,0.08490566037735849
61,Mono County,37.9475,-119.18166667,WARREN,0.1,A,2018,20181003,20181005,Natural,Natural,0.08490566037735849
62,Mono County,37.66166667,-118.94722222,SHADY,0.1,A,2018,20181104,20181104,Human,Recreation and ceremony,0.08490566037735849
63,Mono County,37.92361111,-119.25083333,LAKE,0.1,A,2018,20180909,20180909,Human,Recreation and ceremony,0.08490566037735849
64,Mono County,37.746845,-118.523685,YELLOW JACKET,0.1,A,2018,20180101,20180101,Human,Arson/incendiarism,0.08490566037735849
65,Mono County,37.530164,-118.366885,VALLEY,0.1,A,2018,20180429,20180429,Human,Debris and open burning,0.08490566037735849
66,Mono County,38.64197,-119.55072,RV,1.7,B,2018,20180619,20180619,Human,Equipment and vehicle use,0.08490566037735849
67,Mono County,37.648445,-118.81219,WHITMORE,0.1,A,2018,20180707,20180707,Human,Recreation and ceremony,0.08490566037735849
68,Mono County,38.158164,-118.798785,BORDER,0.1,A,2018,20180720,20180720,Natural,Natural,0.08490566037735849
69,Mono County,38.140436,-118.799685,DUNE,0.1,A,2018,20180721,20180721,Natural,Natural,0.08490566037735849
70,Mono County,38.150442,-118.800443,MINERAL,0.1,A,2018,20180721,20180721,Natural,Natural,0.08490566037735849
71,Mono County,38.287098,-119.19569,ROCK SPRINGS,0.3,B,2018,20180720,20180721,Natural,Natural,0.08490566037735849
72,Mono County,38.076034,-118.801585,WELLS,0.1,A,2018,20180726,20180726,Natural,Natural,0.08490566037735849
73,Mono County,38.182086,-119.196887,CREEK 2,0.1,A,2018,20180728,20180728,Human,Missing data/not specified/undetermined,0.08490566037735849
74,Mono County,37.566109,-118.74051,SKATE,0.1,A,2018,20180730,20180730,Human,Missing data/not specified/undetermined,0.08490566037735849
75,Mono County,37.696834,-118.824587,HOT CREEK,436.0,E,2018,20180731,20180805,Natural,Natural,0.08490566037735849
76,Mono County,37.61075,-118.79561,MCGEE,10.0,C,2018,20180830,20180830,Human,Missing data/not specified/undetermined,0.08490566037735849
77,Mono County,38.06088,-119.16769,BYWAY,0.1,A,2018,20180831,20180831,Human,Missing data/not specified/undetermined,0.08490566037735849
78,Mono County,38.251945,-119.20759,TRAVERTINE,0.1,A,2018,20180911,20180911,Human,Recreation and ceremony,0.08490566037735849
79,Mono County,37.863997,-119.104303,GRANT,7.1,B,2018,20180917,20180918,Human,Equipment and vehicle use,0.08490566037735849
80,Mono County,37.530695,-118.356685,TRANSFER,0.1,A,2018,20180922,20180923,Human,Missing data/not specified/undetermined,0.08490566037735849
81,Mono County,38.124425,-118.91479,KIRKWOOD,0.1,A,2018,20181003,20181003,Natural,Natural,0.08490566037735849
82,Mono County,38.159298,-118.813387,167,0.1,A,2018,20181003,20181003,Natural,Natural,0.08490566037735849
83,Mono County,37.756675,-118.456087,BENTON,0.1,A,2018,20181023,20181023,Human,Equipment and vehicle use,0.08490566037735849
84,Mono County,38.11333333,-119.27083333,GREEN FIRE,0.5,B,2019,20190902,20190902,Human,Missing data/not specified/undetermined,0.08490566037735849
85,Mono County,38.17333333,-118.81694444,LARKIN FIRE,0.1,A,2019,20190904,20190904,Natural,Natural,0.08490566037735849
86,Mono County,37.92833333,-119.15138889,HORSE,0.1,A,2019,20190708,20190708,Human,Recreation and ceremony,0.08490566037735849
87,Mono County,38.25,-119.33361111,LOG FIRE,0.1,A,2019,20190725,20190728,Natural,Natural,0.08490566037735849
88,Mono County,37.57527778,-118.555,DIABLO,0.5,B,2019,20190913,20190913,Human,Equipment and vehicle use,0.08490566037735849
89,Mono County,38.04277778,-119.11888889,CEMETARY,0.1,A,2019,20190701,20190701,Human,Recreation and ceremony,0.08490566037735849
90,Mono County,37.77583333,-119.07166667,JUNE,0.01,A,2019,20190617,20190617,Human,Recreation and ceremony,0.08490566037735849
91,Mono County,38.16722222,-118.80194444,RED FIRE,0.1,A,2019,20190904,20190904,Natural,Natural,0.08490566037735849
92,Mono County,37.48083333,-118.72222222,FORK,0.06,A,2019,20190819,20190819,Human,Equipment and vehicle use,0.08490566037735849
93,Mono County,37.82583333,-118.87222222,SPRINGS,4840.0,F,2019,20190726,20190927,Natural,Natural,0.08490566037735849
94,Mono County,37.71083333,-119.05555556,TREE,0.1,A,2019,20190927,20190927,Human,Recreation and ceremony,0.08490566037735849
95,Mono County,37.62222222,-119.01027778,TWIN,0.01,A,2019,20190814,20190814,Human,Recreation and ceremony,0.08490566037735849
96,Mono County,37.86166667,-119.02666667,REST,1.0,B,2019,20190817,20190820,Human,Equipment and vehicle use,0.08490566037735849
97,Mono County,37.51138889,-118.58583333,SHERWIN,0.04,A,2019,20190818,20190818,Human,Equipment and vehicle use,0.08490566037735849
98,Mono County,38.43333333,-119.36666667,DEEP CREEK,0.1,A,2019,20190807,20190807,Natural,Natural,0.08490566037735849
99,Mono County,37.88111111,-118.99972222,MILLS,0.5,B,2019,20190724,20190729,Natural,Natural,0.08490566037735849
100,Mono County,37.70805556,-118.95638889,SIERRA,0.1,A,2019,20190825,20190825,Human,Equipment and vehicle use,0.08490566037735849
101,Mono County,37.72333333,-118.71583333,WILFRED,0.01,A,2019,20190726,20190726,Human,Equipment and vehicle use,0.08490566037735849
102,Mono County,37.58583333,-118.86527778,CONVICT,0.1,A,2019,20191005,20191005,Human,Recreation and ceremony,0.08490566037735849
103,Mono County,37.80888889,-119.04527778,JUNCTION,0.1,A,2019,20190610,20190610,Human,Missing data/not specified/undetermined,0.08490566037735849
104,Mono County,37.53111111,-118.62777778,GRADE,0.33,B,2019,20190718,20190718,Human,Equipment and vehicle use,0.08490566037735849
105,Mono County,38.05138889,-118.77,JUNIPER,0.1,A,2019,20190903,20190904,Natural,Natural,0.08490566037735849
106,Mono County,37.93138889,-119.01083333,TUFA,2.9,B,2019,20190902,20190904,Natural,Natural,0.08490566037735849
107,Mono County,37.75833333,-119.13138889,AGNEW,0.1,A,2019,20190706,20190706,Human,Recreation and ceremony,0.08490566037735849
108,Mono County,37.76333333,-118.67,KELTY,4.0,B,2019,20190726,20190919,Natural,Natural,0.08490566037735849
109,Mono County,38.1264,-118.92177,KIRKWOOD,0.1,A,2019,20190605,20190605,Natural,Natural,0.08490566037735849
110,Mono County,37.715556,-118.739887,BROWNS,0.1,A,2019,20190807,20190807,Natural,Natural,0.08490566037735849
111,Mono County,37.6803,-118.4028,CINNAMON,0.1,A,2019,20190920,20190920,Human,Power generation/transmission/distribution,0.08490566037735849
112,Mono County,37.70119,-118.37349,HAMMIL,0.1,A,2019,20190928,20190928,Human,Equipment and vehicle use,0.08490566037735849
113,Mono County,37.639109,-118.858765,FISH,2.6,B,2019,20190424,20190424,Human,Equipment and vehicle use,0.08490566037735849
114,Mono County,38.36027523,-119.20121277,MURPHY,13.26,C,2020,20200615,20200616,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
115,Mono County,38.39034521,-119.47491282,GROUSE,0.1,A,2020,20200829,20200829,Natural,Natural,0.08490566037735849
116,Mono County,38.51509522,-119.46531283,MOUNTAIN VIEW,20385.0,G,2020,20201117,20201211,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
117,Mono County,38.57662523,-119.44201284,BLACKWELL,0.1,A,2020,20200816,20200816,Natural,Natural,0.08490566037735849
118,Mono County,38.21260522,-119.12301274,POTATO,0.1,A,2020,20200816,20200816,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
119,Mono County,38.25387522,-119.23201276,SHELL,2.5,B,2020,20200226,20200226,Human,Missing data/not specified/undetermined,0.08490566037735849
120,Mono County,38.27140524,-118.98161272,AURORA,280.0,D,2020,20200626,20200701,Natural,Natural,0.08490566037735849
121,Mono County,38.58191522,-119.59051286,SLINKARD,0.1,A,2020,20200817,20200817,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
122,Mono County,38.58830522,-119.52101285,HIGHLINE,0.1,A,2020,20200726,20200726,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
123,Mono County,38.64247523,-119.52801286,MONITOR,0.1,A,2020,20200628,20200628,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
124,Mono County,38.50655522,-119.54321285,GOLDEN GATE,0.1,A,2020,20200817,20200818,Natural,Natural,0.08490566037735849
125,Mono County,38.56782522,-119.56791286,SLINK,26759.0,G,2020,20200829,20201113,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
126,Mono County,37.88255524,-118.45941259,RANCH,0.5,B,2020,20200802,20200802,Human,Equipment and vehicle use,0.08490566037735849
127,Mono County,37.78666519,-118.98401267,FLAT,0.2,A,2020,20200725,20200725,Natural,Natural,0.08490566037735849
128,Mono County,37.9226652,-119.00431269,NAVY,0.2,A,2020,20200802,20200802,Human,Recreation and ceremony,0.08490566037735849
129,Mono County,37.85314521,-118.83181265,SAGEHEN,0.1,A,2020,20200624,20200625,Natural,Natural,0.08490566037735849
130,Mono County,37.93611523,-118.57111262,PIZONA,0.1,A,2020,20200814,20200815,Natural,Natural,0.08490566037735849
131,Mono County,38.12388522,-118.9363127,SAND,0.1,A,2020,20200526,20200526,Natural,Natural,0.08490566037735849
132,Mono County,37.9293752,-118.98331269,BEACH,3780.0,F,2020,20200816,20200827,Natural,Natural,0.08490566037735849
133,Mono County,37.7565152,-118.74621263,OHARREL,0.1,A,2020,20201229,20201229,Human,Recreation and ceremony,0.08490566037735849
134,Mono County,37.78552521,-118.69411262,SAWMILL,7.8,B,2020,20200528,20200528,Natural,Natural,0.08490566037735849
135,Mono County,37.74963519,-118.95141266,ALPERS,0.1,A,2020,20200707,20200707,Human,Recreation and ceremony,0.08490566037735849
136,Mono County,37.75898519,-118.94201266,BIG,0.1,A,2020,20200614,20200614,Human,Recreation and ceremony,0.08490566037735849
137,Mono County,37.73508519,-118.95661266,LOOKOUT,0.1,A,2020,20200725,20200725,Human,Recreation and ceremony,0.08490566037735849
138,Mono County,37.75119519,-118.95861266,RIVER,0.1,A,2020,20200630,20200630,Human,Recreation and ceremony,0.08490566037735849
139,Mono County,37.76097519,-118.94391266,BIG SPRINGS,0.1,A,2020,20200627,20200627,Human,Recreation and ceremony,0.08490566037735849
140,Mono County,37.94945518,-119.26181273,GARDISKY,0.1,A,2020,20200618,20200618,Human,Missing data/not specified/undetermined,0.08490566037735849
141,Mono County,38.16182521,-119.12751274,CANYON,0.1,A,2020,20200816,20200816,Natural,Natural,0.08490566037735849
142,Mono County,38.0827852,-119.16711273,RATTLESNAKE,0.1,A,2020,20200814,20200814,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
143,Mono County,38.04761521,-119.08131272,LOGS,0.1,A,2020,20200620,20200620,Human,Recreation and ceremony,0.08490566037735849
144,Mono County,38.0665252,-119.18991274,LUNDY,6.3,B,2020,20200623,20200624,Natural,Natural,0.08490566037735849
145,Mono County,38.19495521,-119.22031276,GREEN CREEK,0.1,A,2020,20200516,20200516,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
146,Mono County,37.74330517,-119.2108127,RUSH,0.3,B,2020,20200912,20200912,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
147,Mono County,37.76222519,-119.00271267,DOME,0.1,A,2020,20200625,20200625,Natural,Natural,0.08490566037735849
148,Mono County,37.62602518,-118.93991264,MOTO,0.1,A,2020,20200501,20200501,Human,Recreation and ceremony,0.08490566037735849
149,Mono County,37.56512518,-118.77161261,BORDER,0.1,A,2020,20200725,20200725,Human,Recreation and ceremony,0.08490566037735849
150,Mono County,37.55786519,-118.65951259,TOMS,0.1,A,2020,20200917,20200917,Human,Arson/incendiarism,0.08490566037735849
151,Mono County,37.58000519,-118.67971259,SUNNY,0.1,A,2020,20201116,20201116,Human,Recreation and ceremony,0.08490566037735849
152,Mono County,37.57322519,-118.67391259,SUNNYSLOPES,0.5,B,2020,20201117,20201118,Human,Power generation/transmission/distribution,0.08490566037735849
153,Mono County,37.6249352,-118.63621259,CROWLEY,2.64,B,2020,20200524,20200524,Human,Equipment and vehicle use,0.08490566037735849
154,Mono County,37.65892519,-118.77081262,WILLYS,0.1,A,2020,20200116,20200116,Human,Recreation and ceremony,0.08490566037735849
155,Mono County,37.67347518,-118.94781265,CUTOFF,0.1,A,2020,20200727,20200727,Human,Recreation and ceremony,0.08490566037735849
156,Mono County,37.50724518,-118.70931259,IRIS,120.0,D,2020,20200721,20200804,Natural,Natural,0.08490566037735849
157,Mono County,37.54965519,-118.63941258,SHERWIN,0.1,A,2020,20200512,20200512,Human,Equipment and vehicle use,0.08490566037735849
158,Mono County,37.52993521,-118.36541254,CHALFANT,0.1,A,2020,20200427,20200427,Human,Power generation/transmission/distribution,0.08490566037735849
159,Mono County,37.51839519,-118.59261257,GRADE,0.1,A,2020,20200321,20200321,Human,Equipment and vehicle use,0.08490566037735849
160,Mono County,37.51875519,-118.59941257,VISTA,0.1,A,2020,20200124,20200124,Human,Equipment and vehicle use,0.08490566037735849
161,Mono County,37.53553519,-118.61681258,GORGE,0.1,A,2020,20200401,20200401,Human,Recreation and ceremony,0.08490566037735849
162,Mono County,37.69835518,-118.99501266,CRATER,0.1,A,2020,20200702,20200702,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.08490566037735849
163,Mono County,37.67661518,-118.99331266,DRY,0.1,A,2020,20200911,20200911,Human,Recreation and ceremony,0.08490566037735849
164,Mono County,37.69094518,-118.98781266,CRATERS,0.1,A,2020,20200724,20200724,Human,Recreation and ceremony,0.08490566037735849
165,Mono County,37.65176518,-118.96771265,REST,0.1,A,2020,20200403,20200403,Human,Recreation and ceremony,0.08490566037735849
166,Mono County,37.65157517,-119.01241266,WOOLLYS,0.1,A,2020,20200808,20200808,Human,Recreation and ceremony,0.08490566037735849
167,Mono County,37.65095517,-119.01801266,PARKING,0.1,A,2020,20200417,20200424,Natural,Natural,0.08490566037735849
168,Mono County,37.65213517,-119.02431266,TEN,0.1,A,2020,20200725,20200725,Human,Recreation and ceremony,0.08490566037735849
169,Mono County,37.46549519,-118.57831257,SANDSHED,0.1,A,2020,20200716,20200716,Human,Missing data/not specified/undetermined,0.08490566037735849
170,Mono County,37.47660519,-118.58071257,ROADSIDE,0.1,A,2020,20200703,20200703,Human,Equipment and vehicle use,0.08490566037735849
171,Amador County,38.0,-119.0,NIGHTHAWK,0.1,A,2017,20170912,20170913,Natural,Natural,0.054121151936444886
172,Amador County,38.441767,-120.696867,CANYON,0.03,A,2017,20170821,20170821,Natural,Natural,0.054121151936444886
173,Amador County,38.440317,-120.88475,124,0.5,B,2017,20170520,20170520,Human,Equipment and vehicle use,0.054121151936444886
174,Amador County,38.268823,-120.971559,GRAPEVINE GULCH RD  JACKS,0.01,A,2017,20170526,20170526,Human,Equipment and vehicle use,0.054121151936444886
175,Amador County,38.306569,-120.968234,JACKSON,3.8,B,2017,20170620,20170620,Human,Equipment and vehicle use,0.054121151936444886
176,Amador County,38.448373,-120.987015,LAMBERT,3.5,B,2017,20170702,20170702,Human,Equipment and vehicle use,0.054121151936444886
177,Amador County,38.508025,-120.931551,HIGHWAY 2,6.7,B,2017,20170712,20170712,Human,Equipment and vehicle use,0.054121151936444886
178,Amador County,38.449723,-120.516269,MADRONE LN  BUCKHORN,0.1,A,2017,20170908,20170908,Human,Smoking,0.054121151936444886
179,Amador County,38.241035,-120.950473,LAKEVIEW,1.0,B,2017,20171119,20171119,Human,Smoking,0.054121151936444886
180,Amador County,38.367113,-120.642619,TABEAUD,0.01,A,2017,20170506,20170506,Human,Debris and open burning,0.054121151936444886
181,Amador County,38.427419,-120.586381,DUSTY,0.01,A,2017,20170525,20170525,Human,Debris and open burning,0.054121151936444886
182,Amador County,38.491546,-120.529194,CEDAR,0.27,B,2017,20170527,20170527,Human,Debris and open burning,0.054121151936444886
183,Amador County,38.371486,-120.881002,VINTAGE,3.4,B,2017,20170527,20170527,Human,Debris and open burning,0.054121151936444886
184,Amador County,38.400584,-120.680172,TAVES,0.12,A,2017,20170602,20170602,Human,Debris and open burning,0.054121151936444886
185,Amador County,38.410061,-120.613832,ROLLING,0.1,A,2017,20170610,20170610,Human,Debris and open burning,0.054121151936444886
186,Amador County,38.417234,-120.60514,ROCKY,1.0,B,2017,20170610,20170610,Human,Debris and open burning,0.054121151936444886
187,Amador County,38.412671,-120.597099,RED,0.05,A,2017,20170703,20170703,Human,Debris and open burning,0.054121151936444886
188,Amador County,38.478616,-120.622681,LOCKWOOD,0.01,A,2017,20170722,20170722,Human,Debris and open burning,0.054121151936444886
189,Amador County,38.486293,-120.846393,MILLER,1.4,B,2017,20171113,20171113,Human,Debris and open burning,0.054121151936444886
190,Amador County,38.227049,-120.888814,BUENA,0.1,A,2017,20170414,20170414,Human,Missing data/not specified/undetermined,0.054121151936444886
191,Amador County,38.293692,-120.840887,STONY,0.1,A,2017,20170515,20170515,Human,Missing data/not specified/undetermined,0.054121151936444886
192,Amador County,38.494181,-120.5354,FALLEN,0.02,A,2017,20170530,20170530,Human,Missing data/not specified/undetermined,0.054121151936444886
193,Amador County,38.449732,-120.898156,DRYTOWN,1.6,B,2017,20170606,20170606,Human,Missing data/not specified/undetermined,0.054121151936444886
194,Amador County,38.363533,-120.7627,NEW,4.3,B,2017,20170624,20170624,Human,Missing data/not specified/undetermined,0.054121151936444886
195,Amador County,38.277473,-120.870554,STONY,11.0,C,2017,20170624,20170624,Human,Missing data/not specified/undetermined,0.054121151936444886
196,Amador County,38.269452,-120.937369,RESERVATION,1.4,B,2017,20170721,20170721,Human,Missing data/not specified/undetermined,0.054121151936444886
197,Amador County,38.349096,-120.709492,CLINTON,0.3,B,2017,20170724,20170724,Human,Missing data/not specified/undetermined,0.054121151936444886
198,Amador County,38.300167,-120.88371,LAKE,0.1,A,2017,20170729,20170729,Human,Missing data/not specified/undetermined,0.054121151936444886
199,Amador County,38.422135,-120.674701,RAINBOW,0.1,A,2017,20170803,20170803,Human,Missing data/not specified/undetermined,0.054121151936444886
200,Amador County,38.453823,-120.872629,49,0.17,A,2017,20170805,20170805,Human,Missing data/not specified/undetermined,0.054121151936444886
201,Amador County,38.370535,-120.798502,TRADE,0.04,A,2017,20170808,20170808,Human,Missing data/not specified/undetermined,0.054121151936444886
202,Amador County,38.505232,-120.760908,JIBBOOM,1.6,B,2017,20170828,20170828,Human,Missing data/not specified/undetermined,0.054121151936444886
203,Amador County,38.39463,-120.907011,WILLOW,1.0,B,2017,20170901,20170901,Human,Missing data/not specified/undetermined,0.054121151936444886
204,Amador County,38.376276,-120.979986,104,1.0,B,2017,20170921,20170921,Human,Missing data/not specified/undetermined,0.054121151936444886
205,Amador County,38.446255,-120.954623,IRISH,5.8,B,2017,20170923,20170923,Human,Missing data/not specified/undetermined,0.054121151936444886
206,Amador County,38.25998,-120.919332,COAL,27.0,C,2017,20171013,20171013,Human,Missing data/not specified/undetermined,0.054121151936444886
207,Amador County,38.383835,-120.862947,PAINE,2.5,B,2017,20171024,20171024,Human,Missing data/not specified/undetermined,0.054121151936444886
208,Amador County,38.464778,-120.963835,FOREST,0.31,B,2017,20170522,20170522,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.054121151936444886
209,Amador County,38.418783,-120.559006,DEFENDER GRADE  / RED COR,0.01,A,2017,20170613,20170613,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.054121151936444886
210,Amador County,38.347752,-120.851162,LOS RANCHOS,17.4,C,2017,20170616,20170616,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.054121151936444886
211,Amador County,38.406545,-120.831697,TONZI,22.8,C,2017,20170617,20170617,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.054121151936444886
212,Amador County,38.3484,-120.847483,RIDGE,6.2,B,2017,20170704,20170704,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.054121151936444886
