,FIPS_NAME,LATITUDE,LONGITUDE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS,FIRE_YEAR,DISCOVERY_DATE,CONTAIN_DATE,CAUSE_CLASSIFICATION,CAUSE
18,El Dorado County,38.75555556,-120.21277778,CHINA,1.0,B,2017,2017-08-22,2017-08-22,Natural,Natural
19,El Dorado County,38.76611111,-120.11333333,STRAWBERRY,0.1,A,2017,2017-08-20,2017-08-20,Natural,Natural
20,El Dorado County,38.7825,-120.22305556,50,0.1,A,2017,2017-08-21,2017-08-21,Human,Equipment and vehicle use
21,El Dorado County,38.68388889,-120.24972222,DELIGHT,0.1,A,2017,2017-08-21,2017-08-21,Natural,Natural
22,El Dorado County,38.89583333,-120.37805556,WENCH,0.2,A,2017,2017-07-21,2017-07-21,Human,Recreation and ceremony
23,El Dorado County,38.98055556,-120.32472222,RED,0.1,A,2017,2017-08-22,2017-08-23,Natural,Natural
24,El Dorado County,38.78555556,-120.49194444,ICE,30.0,C,2017,2017-10-10,2017-10-15,Human,Equipment and vehicle use
25,El Dorado County,38.86583333,-120.37166667,BOSWORTH,0.1,A,2017,2017-07-12,2017-07-12,Human,Missing data/not specified/undetermined
26,El Dorado County,38.89861111,-120.36916667,CREEK,0.1,A,2017,2017-08-04,2017-08-04,Human,Missing data/not specified/undetermined
27,El Dorado County,38.87,-120.3425,JONES,0.4,B,2017,2017-06-17,2017-06-17,Natural,Natural
28,El Dorado County,38.82583333,-120.21166667,FORNI,6.0,B,2017,2017-08-11,2017-08-14,Human,Recreation and ceremony
29,El Dorado County,38.94305556,-120.72583333,GERLE,0.1,A,2017,2017-08-11,2017-08-11,Human,Missing data/not specified/undetermined
30,El Dorado County,38.87388889,-120.24194444,WEBER,0.1,A,2017,2017-06-19,2017-06-19,Human,Equipment and vehicle use
31,El Dorado County,38.85944444,-120.34388889,PICKETT,0.1,A,2017,2017-09-12,2017-09-12,Natural,Natural
32,El Dorado County,38.87,-120.26527778,SILVER,0.1,A,2017,2017-08-21,2017-08-21,Natural,Natural
33,El Dorado County,38.76944444,-120.4475,50,0.1,A,2017,2017-05-02,2017-05-02,Human,Debris and open burning
34,El Dorado County,38.86972222,-120.23638889,BARRETT,0.1,A,2017,2017-08-16,2017-08-17,Natural,Natural
35,El Dorado County,38.87361111,-120.24305556,WRIGHTS,0.4,B,2017,2017-06-24,2017-06-25,Natural,Natural
36,El Dorado County,38.93444444,-120.1525,VELMA,0.1,A,2017,2017-10-19,2017-10-26,Human,Recreation and ceremony
37,El Dorado County,38.80277778,-120.3825,GRANITE,0.25,A,2017,2017-07-26,2017-07-26,Human,Recreation and ceremony
38,El Dorado County,38.91,-120.43583333,LITTLE,0.1,A,2017,2017-09-20,2017-09-20,Human,Recreation and ceremony
39,El Dorado County,38.73,-120.21166667,SHANTY,0.28,B,2017,2017-08-16,2017-08-17,Natural,Natural
40,Mono County,38.04444444,-119.23111111,VIRGINIA,1.0,B,2017,2017-08-12,2017-08-12,Natural,Natural
41,Mono County,37.80805556,-119.04833333,HARTLEY,0.1,A,2017,2017-08-15,2017-08-15,Human,Equipment and vehicle use
42,Inyo County,36.97416667,-118.35333333,GOODALE,0.26,B,2017,2017-07-24,2017-08-28,Natural,Natural
43,Mono County,37.52138889,-118.60111111,TESSO,0.1,A,2017,2017-06-19,2017-06-19,Human,Equipment and vehicle use
44,Inyo County,37.4425,-118.24527778,GUNTER,0.1,A,2017,2017-09-14,2017-09-14,Natural,Natural
45,Inyo County,37.35416667,-118.73027778,BRIDGE,0.02,A,2017,2017-10-05,2017-10-06,Human,Recreation and ceremony
46,Inyo County,36.5975,-118.18527778,PINE,0.1,A,2017,2017-03-30,2017-03-30,Human,Recreation and ceremony
47,Inyo County,36.52527778,-118.18083333,DIAZ,75.0,C,2017,2017-06-21,2017-08-01,Human,Equipment and vehicle use
48,Tulare County,36.1875,-118.25361111,CASA,0.1,A,2017,2017-09-05,2017-09-08,Natural,Natural
49,Tulare County,36.24944444,-118.305,INDIAN,2295.0,F,2017,2017-08-03,2017-08-31,Natural,Natural
50,Inyo County,36.65833333,-118.22694444,GEORGES,0.7,B,2017,2017-10-29,2017-10-29,Human,Recreation and ceremony
51,Inyo County,36.24083333,-118.05888889,FALLS,0.25,A,2017,2017-10-08,2017-10-09,Human,Arson/incendiarism
52,Inyo County,36.24083333,-118.05888889,FALLS 2,0.5,B,2017,2017-10-09,2017-10-09,Human,Arson/incendiarism
53,Siskiyou County,41.79361111,-123.36638889,SHORTY,0.1,A,2017,2017-07-07,2017-07-07,Human,Recreation and ceremony
54,Siskiyou County,41.79944444,-123.37388889,GRIDER,0.75,B,2017,2017-08-01,2017-08-01,Human,Power generation/transmission/distribution
55,Siskiyou County,41.73138889,-123.38333333,ELK,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
56,Siskiyou County,41.76305556,-123.18833333,BARK,0.5,B,2017,2017-07-25,2017-07-25,Natural,Natural
57,Siskiyou County,41.73083333,-123.38305556,TITUS,1.97,B,2017,2017-07-25,2017-07-25,Natural,Natural
58,Siskiyou County,41.74916667,-123.11083333,LAKE MTN,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
59,Siskiyou County,41.74861111,-123.39055556,KANAKA,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
60,Siskiyou County,41.96611111,-123.48166667,TWO BIT,0.1,A,2017,2017-08-11,2017-08-11,Natural,Natural
61,Siskiyou County,41.82472222,-123.31638889,OAK HOLLOW,0.75,B,2017,2017-07-26,2017-07-27,Natural,Natural
62,Siskiyou County,41.73361111,-123.45888889,WINGATE,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
63,Siskiyou County,41.72166667,-123.45861111,DAGGETT,1.4,B,2017,2017-07-25,2017-07-25,Natural,Natural
64,Siskiyou County,41.72944444,-123.46638889,DEAD HORSE,0.1,A,2017,2017-07-25,2017-07-26,Natural,Natural
65,Siskiyou County,41.68305556,-122.00472222,SUTCLIFFE,0.6,B,2017,2017-08-17,2017-08-17,Human,Equipment and vehicle use
66,Siskiyou County,41.68833333,-123.4225,UFISH,0.1,A,2017,2017-07-26,2017-07-26,Natural,Natural
67,Siskiyou County,41.98333333,-123.455,BARE,0.75,B,2017,2017-08-11,2017-08-12,Natural,Natural
68,Siskiyou County,41.85277778,-123.46611111,MOE,0.1,A,2017,2017-09-07,2017-09-07,Natural,Natural
69,Siskiyou County,41.69027778,-123.54277778,SOUTH,2.0,B,2017,2017-07-25,2017-07-25,Natural,Natural
70,Siskiyou County,41.6875,-123.42083333,BUZZARD,0.5,B,2017,2017-07-25,2017-07-25,Natural,Natural
71,Siskiyou County,41.95944444,-123.47222222,GREEN,0.1,A,2017,2017-09-07,2017-09-07,Natural,Natural
72,Siskiyou County,41.95333333,-123.51694444,POKER,0.1,A,2017,2017-08-12,2017-08-12,Natural,Natural
73,Siskiyou County,41.86916667,-123.21861111,DEVILS,0.3,B,2017,2017-08-08,2017-08-08,Natural,Natural
74,Siskiyou County,41.915,-123.41166667,KEMPER,0.1,A,2017,2017-08-11,2017-08-11,Natural,Natural
75,Siskiyou County,41.78944444,-123.32833333,CADE,1.3,B,2017,2017-07-25,2017-07-25,Natural,Natural
76,Siskiyou County,41.72583333,-123.1575,TYLER,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
77,Siskiyou County,41.69027778,-123.04111111,SCHULER,0.1,A,2017,2017-08-11,2017-08-11,Natural,Natural
78,Siskiyou County,41.59194444,-123.16361111,LOVERS,0.25,A,2017,2017-08-09,2017-08-09,Natural,Natural
79,Siskiyou County,41.39722222,-122.98916667,JESSE,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
80,Siskiyou County,41.60444444,-123.11444444,DEEP,101.0,D,2017,2017-09-07,2017-09-07,Natural,Natural
81,Siskiyou County,41.79027778,-123.05277778,SARAH,1.0,B,2017,2017-05-23,2017-05-23,Human,Arson/incendiarism
82,Siskiyou County,41.96722222,-123.365,THOMPSON 1,1.5,B,2017,2017-06-25,2017-06-30,Natural,Natural
83,Siskiyou County,41.96888889,-123.36611111,THOMPSON 2,4.5,B,2017,2017-06-25,2017-06-30,Natural,Natural
84,Siskiyou County,41.915,-123.36,MORGAN,0.1,A,2017,2017-06-25,2017-06-26,Natural,Natural
85,Siskiyou County,41.95166667,-123.42166667,FORK,0.15,A,2017,2017-06-25,2017-06-26,Natural,Natural
86,Siskiyou County,41.96833333,-123.36888889,MINE,1.8,B,2017,2017-06-26,2017-06-26,Natural,Natural
87,Siskiyou County,41.60361111,-121.28,GARNER,0.1,A,2017,2017-07-24,2017-07-24,Natural,Natural
88,Siskiyou County,41.66638889,-121.82833333,PRAIRE,0.1,A,2017,2017-07-25,2017-07-26,Natural,Natural
89,Siskiyou County,41.69194444,-121.65694444,LAVA,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
90,Siskiyou County,41.57972222,-121.67833333,GLASS,0.02,A,2017,2017-07-24,2017-07-24,Human,Recreation and ceremony
91,Siskiyou County,41.60166667,-121.79972222,TAMARACK,0.25,A,2017,2017-08-01,2017-08-02,Natural,Natural
92,Siskiyou County,41.79416667,-122.10138889,JUANITA,0.02,A,2017,2017-06-25,2017-06-26,Natural,Natural
93,Siskiyou County,41.58111111,-121.79694444,GARNER 2,0.12,A,2017,2017-08-23,2017-08-24,Natural,Natural
94,Siskiyou County,41.70222222,-122.18972222,NEST,0.1,A,2017,2017-07-26,2017-07-26,Natural,Natural
95,Siskiyou County,41.46472222,-122.06638889,SURPRISE,0.25,A,2017,2017-08-16,2017-08-17,Natural,Natural
96,Siskiyou County,41.67138889,-121.84611111,PRAIRIE 2,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
97,Siskiyou County,41.64083333,-121.84805556,LONG,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
98,Siskiyou County,41.79583333,-122.2075,MEDICINE,0.1,A,2017,2017-09-04,2017-09-04,Natural,Natural
99,Siskiyou County,41.94972222,-122.02861111,POINT,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
100,Siskiyou County,41.75055556,-122.86722222,GUMBOOT,0.1,A,2017,2017-06-25,2017-06-25,Natural,Natural
101,Siskiyou County,41.82694444,-122.95222222,WALKER 2,0.1,A,2017,2017-08-11,2017-08-11,Natural,Natural
102,Siskiyou County,41.60583333,-121.85472222,FRENCH 2,0.2,A,2017,2017-07-25,2017-07-25,Natural,Natural
103,Siskiyou County,41.83055556,-122.97527778,CHERRY,14.5,C,2017,2017-10-06,2017-10-11,Human,Debris and open burning
104,Siskiyou County,41.84333333,-122.88222222,BRIDGE,0.1,A,2017,2017-10-30,2017-10-30,Human,Debris and open burning
105,Siskiyou County,41.8175,-122.74583333,VESA,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
106,Siskiyou County,41.80333333,-122.95277778,COLLINS,0.2,A,2017,2017-07-25,2017-07-25,Natural,Natural
107,Siskiyou County,41.83333333,-122.67694444,HEAVEN,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
108,Siskiyou County,41.87277778,-123.10722222,ROBINSON,0.75,B,2017,2017-08-08,2017-08-08,Natural,Natural
109,Siskiyou County,41.83472222,-122.72361111,CHINA,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
110,Siskiyou County,41.9525,-122.90833333,JAYNES,0.1,A,2017,2017-08-09,2017-08-10,Natural,Natural
111,Siskiyou County,41.87944444,-122.90638889,DOGGETT,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
112,Siskiyou County,41.79944444,-122.93333333,CREEK,0.1,A,2017,2017-07-26,2017-07-28,Natural,Natural
113,Siskiyou County,41.84388889,-123.03638889,POWER POLE,0.1,A,2017,2017-07-25,2017-07-25,Natural,Natural
114,Siskiyou County,41.845,-122.67583333,LIME,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
115,Siskiyou County,41.90222222,-122.89277778,ROAD 19,0.1,A,2017,2017-06-25,2017-06-25,Natural,Natural
116,Siskiyou County,41.8225,-122.94805556,FRENCH 1,0.2,A,2017,2017-07-25,2017-07-25,Natural,Natural
117,Siskiyou County,41.79138889,-122.91222222,MCKINNEY,0.2,A,2017,2017-07-25,2017-07-25,Natural,Natural
118,Siskiyou County,41.68166667,-123.54111111,FORK,7.0,B,2017,2017-07-25,2017-07-26,Natural,Natural
119,Siskiyou County,41.78833333,-122.97527778,COLLINS,0.1,A,2017,2017-06-25,2017-06-26,Natural,Natural
120,Siskiyou County,41.81027778,-122.90083333,MONUMENT,0.1,A,2017,2017-05-25,2017-05-25,Natural,Natural
121,Siskiyou County,41.95222222,-122.78555556,BUMBLEBEE,0.13,A,2017,2017-06-26,2017-06-26,Natural,Natural
122,Siskiyou County,41.88194444,-122.80861111,COUGAR,0.1,A,2017,2017-06-25,2017-06-25,Natural,Natural
123,Siskiyou County,41.90388889,-122.93611111,DEER,0.1,A,2017,2017-06-25,2017-06-25,Natural,Natural
124,Siskiyou County,41.83972222,-122.67416667,KLAMATH,80.0,C,2017,2017-07-04,2017-07-06,Human,Recreation and ceremony
125,Plumas County,40.20666667,-121.24138889,HUMBUG,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
126,Tehama County,40.36055556,-121.49972222,MEADOW 2,0.01,A,2017,2017-10-02,2017-10-02,Human,Missing data/not specified/undetermined
127,Plumas County,40.11916667,-121.18666667,RUFFA,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
128,Plumas County,40.18916667,-121.13,ROCKY,0.25,A,2017,2017-06-24,2017-06-24,Human,Missing data/not specified/undetermined
129,Tehama County,40.32166667,-121.62138889,TURNER,0.2,A,2017,2017-08-07,2017-08-08,Natural,Natural
130,Lassen County,40.42138889,-121.06555556,SWAIN,0.1,A,2017,2017-08-16,2017-08-16,Human,Missing data/not specified/undetermined
131,Tehama County,40.32166667,-121.57055556,MINERAL FIRE,0.02,A,2017,2017-08-28,2017-08-28,Human,Missing data/not specified/undetermined
132,Shasta County,40.75277778,-121.44611111,WILCOX (H-12),0.27,B,2017,2017-09-08,2017-09-08,Natural,Natural
133,Shasta County,40.85083333,-121.30166667,LOADER,0.5,B,2017,2017-05-30,2017-05-30,Human,Equipment and vehicle use
134,Plumas County,40.16472222,-121.25416667,MEADOW,0.1,A,2017,2017-09-06,2017-09-06,Natural,Natural
135,Tehama County,40.29416667,-121.59722222,ROCKY 2,0.8,B,2017,2017-09-06,2017-09-07,Natural,Natural
136,Plumas County,40.21055556,-121.29555556,SOLDIER,0.2,A,2017,2017-09-06,2017-09-06,Natural,Natural
137,Shasta County,40.92027778,-121.475,JEWEL,0.15,A,2017,2017-09-06,2017-09-07,Natural,Natural
138,Shasta County,40.81083333,-121.22555556,FOUND,0.25,A,2017,2017-09-07,2017-09-07,Natural,Natural
139,Plumas County,40.27694444,-121.23694444,RUNWAY,0.5,B,2017,2017-07-16,2017-07-16,Human,Missing data/not specified/undetermined
140,Plumas County,40.22388889,-121.37222222,CARTER,1.25,B,2017,2017-09-06,2017-09-07,Natural,Natural
141,Lassen County,40.64083333,-121.24888889,E-4 POISON LAKE 2,0.1,A,2017,2017-09-07,2017-09-07,Natural,Natural
142,Shasta County,40.82472222,-121.34888889,ALCOHOL,1.3,B,2017,2017-09-06,2017-09-06,Natural,Natural
143,Lassen County,40.85,-121.20305556,GULCH,0.15,A,2017,2017-09-12,2017-09-12,Natural,Natural
144,Shasta County,40.76138889,-121.43055556,LOST,0.24,A,2017,2017-09-12,2017-09-13,Natural,Natural
145,Lassen County,40.71305556,-120.79583333,E-8 WELLS,0.1,A,2017,2017-09-13,2017-09-13,Natural,Natural
146,Plumas County,40.12083333,-121.18111111,FANANI 2,0.37,B,2017,2017-09-06,2017-09-06,Natural,Natural
147,Lassen County,40.75055556,-121.09944444,E-5 ASPEN,0.17,A,2017,2017-08-23,2017-08-23,Natural,Natural
148,Ventura County,34.45138889,-119.05083333,CANYON,30.0,C,2017,2017-07-19,2017-08-04,Human,Missing data/not specified/undetermined
149,San Luis Obispo County,35.35,-120.35083333,TURKEY,0.1,A,2017,2017-05-13,2017-05-13,Human,Recreation and ceremony
150,Kern County,34.82527778,-119.16833333,SAW,0.2,A,2017,2017-09-10,2017-09-11,Natural,Natural
151,Ventura County,34.65472222,-118.93555556,GOLD,0.5,B,2017,2017-07-05,2017-07-05,Human,Missing data/not specified/undetermined
152,San Luis Obispo County,35.39666667,-120.28305556,RED,451.0,E,2017,2017-08-02,2017-08-03,Natural,Natural
153,Santa Barbara County,35.10333333,-120.1075,CLEAR,0.2,A,2017,2017-12-24,2017-12-24,Human,Missing data/not specified/undetermined
154,San Luis Obispo County,35.28666667,-120.41444444,POZO,61.44,C,2017,2017-10-09,2017-10-09,Human,Equipment and vehicle use
155,Ventura County,34.79333333,-119.28194444,NETTLE,0.1,A,2017,2017-12-06,2017-12-06,Human,Debris and open burning
156,Kern County,34.81805556,-118.90861111,ESTATE,0.01,A,2017,2017-01-16,2017-01-16,Human,Missing data/not specified/undetermined
157,Kern County,34.81888889,-118.93666667,BRIDGE,0.01,A,2017,2017-01-17,2017-01-17,Human,Missing data/not specified/undetermined
158,Ventura County,34.41333333,-119.37,WILLOW,0.25,A,2017,2017-06-10,2017-06-10,Human,Missing data/not specified/undetermined
159,Ventura County,34.41,-119.365,CASITAS FIRE,0.48,B,2017,2017-07-18,2017-07-18,Human,Missing data/not specified/undetermined
160,Santa Barbara County,34.54527778,-119.77527778,LOWER,0.01,A,2017,2017-07-04,2017-07-04,Human,Recreation and ceremony
161,Santa Barbara County,34.47888889,-119.68111111,ROCK,0.25,A,2017,2017-07-04,2017-07-05,Human,Fireworks
162,Ventura County,34.54055556,-119.12305556,FORK,1.0,B,2017,2017-08-31,2017-08-31,Natural,Natural
163,Monterey County,35.99638889,-121.46,FERGUSSON,2.0,B,2017,2017-06-15,2017-06-15,Human,Debris and open burning
164,Monterey County,36.225,-121.49777778,LUCIA,5.0,B,2017,2017-07-12,2017-07-13,Human,Arson/incendiarism
165,Ventura County,34.75388889,-119.23694444,DOME,0.1,A,2017,2017-05-23,2017-05-23,Human,Recreation and ceremony
166,Kern County,34.84472222,-119.085,MOUNTAIN,0.15,A,2017,2017-12-26,2017-12-26,Human,Equipment and vehicle use
167,Colusa County,39.37805556,-122.76027778,SUMMIT,0.25,A,2017,2017-07-14,2017-07-14,Human,Arson/incendiarism
168,Glenn County,39.43527778,-122.6875,TWIN,0.34,B,2017,2017-08-11,2017-08-11,Natural,Natural
169,Tehama County,39.92194444,-122.68083333,EAGLE,0.1,A,2017,2017-10-08,2017-10-08,Human,Recreation and ceremony
170,Tehama County,40.00666667,-122.74972222,RAGLIN,0.01,A,2017,2017-09-09,2017-09-09,Natural,Natural
171,Modoc County,41.94666667,-120.80611111,ROCK,17.0,C,2017,2017-06-29,2017-06-30,Human,Missing data/not specified/undetermined
172,Trinity County,41.58388889,-123.69083333,ELK,0.1,A,2017,2017-07-25,2017-07-26,Natural,Natural
173,Siskiyou County,41.54333333,-123.55777778,DILL,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
174,Del Norte County,41.50805556,-123.73527778,BLUE,0.1,A,2017,2017-07-25,2017-07-26,Natural,Natural
175,Trinity County,41.50833333,-123.73361111,FORKS,242.5,D,2017,2017-07-25,2017-10-01,Natural,Natural
176,Trinity County,41.57388889,-123.6725,LITTLE,3.0,B,2017,2017-07-25,2017-09-01,Natural,Natural
177,Siskiyou County,41.45166667,-123.38,HAYPRESS,21301.0,G,2017,2017-08-10,2017-10-16,Natural,Natural
178,Del Norte County,41.58694444,-123.6825,CHIMNEY,0.1,A,2017,2017-07-25,2017-09-01,Natural,Natural
179,Siskiyou County,41.51611111,-123.42055556,ZULU 4,4.0,B,2017,2017-08-08,2017-08-12,Natural,Natural
180,Siskiyou County,41.51888889,-123.42777778,ZULU 5,4.0,B,2017,2017-08-08,2017-08-12,Natural,Natural
181,Siskiyou County,41.51138889,-123.42333333,ZULU 2,4.0,B,2017,2017-08-08,2017-08-09,Natural,Natural
182,Siskiyou County,41.5025,-123.40805556,ZULU 3,3.0,B,2017,2017-08-08,2017-08-08,Natural,Natural
183,Siskiyou County,41.59694444,-123.60888889,DILLON,0.1,A,2017,2017-07-25,2017-10-17,Natural,Natural
184,Humboldt County,41.27416667,-123.50777778,ANTENNA,0.1,A,2017,2017-09-08,2017-09-08,Natural,Natural
185,Siskiyou County,41.51944444,-123.405,ZULU 7,0.1,A,2017,2017-08-11,2017-10-16,Natural,Natural
186,Humboldt County,41.26,-123.60527778,RED,0.1,A,2017,2017-09-07,2017-09-07,Natural,Natural
187,Siskiyou County,41.54944444,-123.28583333,BURNEY,1642.0,F,2017,2017-07-26,2017-10-16,Natural,Natural
188,Humboldt County,40.47444444,-123.50333333,MARBLE,319.0,E,2017,2017-07-19,2017-07-29,Human,Missing data/not specified/undetermined
189,Siskiyou County,41.51305556,-123.43583333,ZULU 1,1.0,B,2017,2017-08-08,2017-08-08,Natural,Natural
190,Trinity County,40.23027778,-123.34138889,PEAK,0.1,A,2017,2017-08-07,2017-08-08,Natural,Natural
191,Trinity County,40.15111111,-123.36388889,KETTENPOM,3.0,B,2017,2017-08-07,2017-08-10,Natural,Natural
192,Trinity County,40.34083333,-123.54,LASSIC,0.01,A,2017,2017-08-07,2017-08-07,Natural,Natural
193,Trinity County,40.11972222,-123.30944444,HOAGIN,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
194,Trinity County,40.22972222,-123.34166667,SMITH,1.8,B,2017,2017-08-07,2017-08-08,Natural,Natural
195,Trinity County,40.25583333,-123.35138889,BARNES,0.25,A,2017,2017-08-08,2017-08-16,Natural,Natural
196,Trinity County,40.18555556,-123.28083333,VAN HORN,0.2,A,2017,2017-08-08,2017-08-09,Natural,Natural
197,Trinity County,40.16777778,-123.3675,SHANNON,0.25,A,2017,2017-08-07,2017-08-09,Natural,Natural
198,Trinity County,40.1525,-123.26111111,DALLON,0.5,B,2017,2017-08-08,2017-08-09,Natural,Natural
199,Trinity County,40.12944444,-123.17777778,SPOUT,4.15,B,2017,2017-08-08,2017-08-12,Natural,Natural
200,Trinity County,40.19444444,-123.26583333,BARRY,0.1,A,2017,2017-08-08,2017-08-08,Natural,Natural
201,Trinity County,40.27361111,-123.42472222,HETTEN,0.25,A,2017,2017-08-08,2017-08-08,Natural,Natural
202,Trinity County,40.22166667,-123.23916667,MAPLE,3.0,B,2017,2017-07-27,2017-07-27,Human,Arson/incendiarism
203,Humboldt County,40.95555556,-123.4875,GROVES,0.1,A,2017,2017-08-09,2017-08-09,Natural,Natural
204,Trinity County,40.90861111,-123.48444444,HAPPY,1.0,B,2017,2017-08-09,2017-08-09,Natural,Natural
205,Trinity County,40.80805556,-123.53388889,HENNESSEY,0.1,A,2017,2017-08-10,2017-08-11,Natural,Natural
206,Humboldt County,40.6775,-123.575,POTATO,8.0,B,2017,2017-08-10,2017-08-11,Natural,Natural
207,Humboldt County,40.82,-123.655,SUGAR,0.2,A,2017,2017-09-06,2017-09-07,Natural,Natural
208,Humboldt County,40.89888889,-123.65444444,MORTON,0.14,A,2017,2017-09-08,2017-09-08,Natural,Natural
209,Trinity County,40.31861111,-123.37333333,RAMP,0.1,A,2017,2017-08-20,2017-08-20,Human,Equipment and vehicle use
210,Trinity County,40.17222222,-123.39138889,SECRET,50.0,C,2017,2017-08-07,2017-08-11,Natural,Natural
211,Trinity County,40.4675,-123.51611111,RIVERS,148.0,D,2017,2017-10-14,2017-10-14,Human,Debris and open burning
212,Trinity County,40.115,-123.31972222,WILLIE,3137.0,F,2017,2017-08-08,2017-08-22,Natural,Natural
213,Butte County,39.76694444,-121.46638889,PT31,0.1,A,2017,2017-06-23,2017-06-23,Human,Missing data/not specified/undetermined
214,Plumas County,39.59972222,-121.07555556,AMERICAN,0.25,A,2017,2017-07-07,2017-07-07,Human,Missing data/not specified/undetermined
215,Yuba County,39.48222222,-121.21333333,CHALLENGE,0.25,A,2017,2017-07-07,2017-07-08,Human,Arson/incendiarism
216,Plumas County,39.87305556,-121.2325,LETTER BOX,0.1,A,2017,2017-08-22,2017-08-22,Human,Missing data/not specified/undetermined
217,Butte County,39.82416667,-121.43722222,DIXIE,8.64,B,2017,2017-09-12,2017-09-16,Human,Missing data/not specified/undetermined
218,Butte County,39.53333333,-121.17638889,GRIZZLY,0.1,A,2017,2017-07-10,2017-07-10,Human,Missing data/not specified/undetermined
219,Plumas County,40.16194444,-120.95055556,RANGE,0.1,A,2017,2017-05-27,2017-05-27,Human,Firearms and explosives use
220,Plumas County,40.01222222,-121.18666667,BAR,0.1,A,2017,2017-06-02,2017-06-02,Human,Equipment and vehicle use
221,Plumas County,39.95805556,-121.28916667,CHAMBERS,0.1,A,2017,2017-06-05,2017-06-05,Human,Arson/incendiarism
222,Plumas County,39.97472222,-120.90972222,OAK,2.7,B,2017,2017-07-04,2017-07-04,Human,Arson/incendiarism
223,Plumas County,40.02222222,-120.9625,SPANISH,0.1,A,2017,2017-07-14,2017-07-14,Human,Arson/incendiarism
224,Plumas County,40.03833333,-120.98444444,WEIGH STATION,0.1,A,2017,2017-07-14,2017-07-14,Human,Arson/incendiarism
225,Plumas County,40.04888889,-120.77583333,GENESEE,6.6,B,2017,2017-06-30,2017-07-02,Human,Arson/incendiarism
